Set,Name,Theme,Year,Parts,Cost
60323-1,Stunt Plane,City,2022,59,9.99
,,,,,Avg: $11.22
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60302-1,Wildlife Rescue Operation,City,2021,525,89.99
,,,,,Avg: $100.36
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60332-1,Reckless Scorpion Stunt Bike,City,2022,15,7.99
,,,,,Avg: $8.87
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60322-1,Race Car,City,2022,46,9.99
,,,,,Avg: $11.02
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60318-1,Fire Helicopter,City,2022,53,9.99
,,,,,Avg: $10.87
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60283-1,Holiday Camper Van,City,2021,190,19.99
,,,,,Avg: $21.46
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60321-1,Fire Brigade,City,2022,766,99.99
,,,,,Avg: $106.44
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60325-1,Cement Mixer Truck,City,2022,85,19.99
,,,,,Avg: $21.26
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60327-1,Horse Transporter,City,2022,196,29.99
,,,,,Avg: $31.81
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60324-1,Mobile Crane,City,2022,340,39.99
,,,,,Avg: $41.58
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60343-1,Rescue Helicopter Transport,City,2022,215,29.99
,,,,,Avg: $30.89
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60304-1,Road Plates,City,2021,112,19.99
,,,,,Avg: $20.33
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60295-1,Stunt Show Arena,City,2021,668,99.99
,,,,,Avg: $101.63
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60351-1,Rocket Launch Center,City,2022,1010,159.99
,,,,,Avg: $162.08
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60317-1,Police Chase at the Bank,City,2022,915,99.99
,,,,,Avg: $101.05
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60316-1,Police Station,City,2022,668,69.99
,,,,,Avg: $70.34
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60335-1,Train Station,City,2022,907,99.99
,,,,,Avg: $99.51
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60315-1,Police Mobile Command Truck,City,2022,436,49.99
,,,,,Avg: $48.97
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60294-1,Stunt Show Truck,City,2021,420,69.99
,,,,,Avg: $67.45
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60320-1,Fire Station,City,2022,540,69.99
,,,,,Avg: $66.78
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60330-1,Hospital,City,2022,816,119.99
,,,,,Avg: $113.46
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60339-1,Double Loop Stunt Arena,City,2022,598,159.99
,,,,,Avg: $149.76
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60313-1,Space Ride Amusement Truck,City,2022,433,49.99
,,,,,Avg: $46.68
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60328-1,Beach Lifeguard Station,City,2022,211,39.99
,,,,,Avg: $34.89
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60314-1,Ice Cream Truck Police Chase,City,2022,319,39.99
,,,,,Avg: $33.66
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60338-1,Chimpanzee Smash Stunt Loop,City,2022,226,69.99
,,,,,Avg: $58.58
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60348-1,Lunar Roving Vehicle,City,2022,275,39.99
,,,,,Avg: $33.08
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60293-1,Stunt Park,City,2021,170,39.99
,,,,,Avg: $32.96
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60350-1,Lunar Research Base,City,2022,794,129.99
,,,,,Avg: $107.09
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60299-1,Stunt Competition,City,2021,73,29.99
,,,,,Avg: $24.65
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60354-1,Mars Spacecraft Exploration Missions,City,2022,298,39.99
,,,,,Avg: $32.83
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60349-1,Lunar Space Station,City,2022,500,79.99
,,,,,Avg: $65.35
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60353-1,Wild Animal Rescue Missions,City,2022,246,39.99
,,,,,Avg: $32.61
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60319-1,Fire Rescue & Police Chase,City,2022,295,39.99
,,,,,Avg: $32.38
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60346-1,Barn & Farm Animals,City,2022,230,69.99
,,,,,Avg: $56.53
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60355-1,Water Police Detective Missions,City,2022,278,39.99
,,,,,Avg: $31.88
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60345-1,Farmers Market Van,City,2022,310,44.99
,,,,,Avg: $35.01
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60342-1,The Shark Attack Stunt Challenge,City,2022,105,34.99
,,,,,Avg: $24.23
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60341-1,The Knockdown Stunt Challenge,City,2022,117,34.99
,,,,,Avg: $23.98
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
60340-1,The Blade Stunt Challenge,City,2022,154,34.99
,,,,,Avg: $23.68
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
40516-1,Everyone Is Awesome,Icons,2021,346,34.99
,,,,,Avg: $54.28
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10309-1,Succulents,Icons,2022,771,49.99
,,,,,Avg: $69.33
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10294-1,Titanic,Icons,2021,9092,679.99
,,,,,Avg: $911.22
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10281-1,Bonsai,Icons,2021,878,49.99
,,,,,Avg: $66.59
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10497-1,Galaxy Explorer,Icons,2022,1254,99.99
,,,,,Avg: $125.46
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10306-1,Atari 2600,Icons,2022,2532,239.99
,,,,,Avg: $300.25
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10289-1,Bird of Paradise,Icons,2021,1173,99.99
,,,,,Avg: $123.74
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10290-1,Pickup Truck,Icons,2021,1678,129.99
,,,,,Avg: $158.85
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10300-1,Back to the Future Time Machine,Icons,2022,1872,199.99
,,,,,Avg: $241.17
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10280-1,Flower Bouquet,Icons,2021,756,59.99
,,,,,Avg: $71.68
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10305-1,Lion Knight's Castle,Icons,2022,4515,399.99
,,,,,Avg: $471.42
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10276-1,Colosseum,Icons,2020,9036,549.99
,,,,,Avg: $646.31
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10302-1,Optimus Prime,Icons,2022,1508,179.99
,,,,,Avg: $207.11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
