REALINC,WRKSTAT,WRKSLF,WRKGOVT,OCC10,PRESTG10,PRESTG105PLUS,MARITAL,PAWRKSLF,SIBS,CHILDS,AGE,EDUC,MAEDUC,DEGREE,MADEG,SEX,RACE,RES16,REG16,MOBILE16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,HOMPOP,BABIES,PRETEEN,TEENS,ADULTS,EARNRS,REGION,SRCBELT,SIZE,PARTYID,PRES16,POLVIEWS,NATROAD,CAPPUN,COURTS,RELIG,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELIG16,FUND16,BIBLE,HAPPY,WEEKSWRK,CLASS,PHONE,TVHOURS,GOD,REBORN,SAVESOUL,RELPERSN,SPRTPRSN
13501.875,1,2,2,5620,25,12,5,2,6,0,31,16,12,1,1,2,1,3,2,2,3,2,2,1,0,2,3,0,1,0,1,2,2,3,86,1,0,4,3,1,2,2,2,2,3,1,2,2,2,2,2,52,2,3,10,6,2,2,2,3
144502.71714,3,1,2,7200,45,50,1,2,4,1,43,12,3,1,0,2,1,6,2,2,1,1,3,2,8,4,6,0,1,1,1,3,2,4,5,6,0,7,1,1,3,2,2,7,1,1,2,2,2,1,1,52,2,3,2.898961068615139,6,2,1,1,1
38373.75,1,2,2,5610,35,27,5,0,5,1,50,12,12,1,1,2,1,3,2,2,5,1,3,1,1,3,3,0,0,0,1,3,2,4,5,3,0,3,2,1,2,2,2,3,2,1,2,2,2,2,2,52,2,3,2.898961068615139,6,2,2,2,2
38373.75,1,2,2,5240,31,20,1,1,3,1,38,14,12,1,1,2,1,4,2,2,1,2,2,1,8,4,4,0,1,0,1,2,2,4,5,1,0,5,2,1,2,10,3,4,1,1,2,10,3,2,1,52,2,3,2.898961068615139,6,2,2,2,1
38373.75,1,2,2,120,53,65,5,1,2,0,39,16,16,3,3,2,3,4,0,3,1,1,4,2,8,4,5,1,1,0,1,3,2,3,79,3,0,5,1,2,3,2,2,8,1,1,1,2,2,2,2,52,2,3,3,6,1,2,2,2
46901.25,1,1,2,7315,45,53,5,2,1,0,23,14,12,2,1,1,1,5,2,1,1,1,3,1,0,0,4,0,0,1,1,4,2,3,79,3,0,4,2,1,2,2,2,2,2,0,5,2,2,4,2,52,2,3,1,4,2,2,3,4
15633.75,1,2,2,5400,38,29,5,2,2,0,50,12,12,1,1,1,1,3,2,2,1,1,3,1,0,0,2,0,0,0,1,1,2,4,27,2,0,4,1,1,2,1,3,0,2,1,5,1,3,2,2,52,2,3,5,5,2,2,4,4
25582.5,4,2,2,4700,38,39,5,1,0,1,31,16,16,3,3,2,2,5,2,3,1,1,4,1,0,1,2,0,1,0,1,1,2,4,27,1,0,2,2,2,2,1,2,7,1,1,1,1,2,1,2,52,2,3,2,6,1,1,2,1
38373.75,1,2,2,5160,39,29,3,2,2,1,58,14,12,2,1,2,1,5,2,2,1,1,3,1,0,0,1,0,0,0,1,1,2,3,35,5,0,4,2,1,3,2,2,5,3,1,1,2,2,2,3,52,2,3,2.898961068615139,6,2,2,2,2
25582.5,1,2,2,4800,38,36,1,2,1,1,34,16,12,3,1,1,1,5,2,2,1,2,3,1,0,2,2,0,0,0,1,2,2,4,16,3,0,4,1,1,3,2,2,1,2,1,3,2,2,2,2,52,2,3,3,6,2,2,3,2
